113,2:04:43,Asrar Abderehman,ETH,25.11.99,1,Sevilla,20.02.2022
113,2:04:43,Mosinet Geremew,ETH,12.02.92,1,Seoul,17.04.2022
116,2:04:44,Wilson Kipsang Kiprotich,KEN,15.03.82,1,London,22.04.2012
116,2:04:44,Seifu Tura,ETH,17.06.97,7,Dubai,26.01.2018
116,2:04:44,Hillary Kipsambu,KEN,04.02.85,3,Paris,17.10.2021
116,2:04:44,Andualem Belay,ETH,05.04.92,6,Berlin,24.09.2023
120,2:04:45,Lelisa Desisa Benti,ETH,14.01.90,1,Dubai,25.01.2013
121,2:04:46,Tsegaye Mekonnen,ETH,15.06.95,3,Dubai,22.01.2016
121,2:04:46,Titus Ekiru,KEN,02.01.92,1,Milano,07.04.2019
121,2:04:46,Mekuant Ayenew,ETH,24.10.91,1,Sevilla,23.02.2020
124,2:04:47,Wilson Kipsang Kiprotich,KEN,15.03.82,2,London,26.04.2015
124,2:04:47,Cyprian Kotut,KEN,06.06.92,1,Hamburg,24.04.2022
126,2:04:48,Patrick Makau,KEN,02.03.85,1,Rotterdam,11.04.2010
126,2:04:48,Yemane Adhane,ETH,08.04.85,1,Rotterdam,15.04.2012
126,2:04:48,Berhanu Shiferaw,ETH,31.05.93,2,Dubai,25.01.2013
126,2:04:48,Birhanu Legesse,ETH,09.11.94,1,Tokyo,03.03.2019
126,2:04:48,Barselius Kipyego,KEN,23.07.93,4,Paris,17.10.2021
126,2:04:48,Stephen Kissa,UGA,01.12.95,2,Hamburg,24.04.2022
132,2:04:49,Tadesse Tola,ETH,31.10.87,3,Dubai,25.01.2013
132,2:04:49,Tola Shura,ETH,09.06.96,2,London,22.04.2018
132,2:04:49,Bashir Abdi,BEL,10.02.89,2,Tokyo,01.03.2020
132,2:04:49,Herpasa Negasa,ETH,11.09.93,2,Seoul,17.04.2022
132,2:04:49,Seifu Tura,ETH,17.06.97,2,Chicago,09.10.2022
132,2:04:49,Tsegaye Getachew,ETH,30.11.96,1,Amsterdam,16.10.2022
132,2:04:49,Amos Kipruto,KEN,16.09.92,7,Berlin,24.09.2023
139,2:04:50,Dino Sefer,ETH,28.05.88,2,Dubai,27.01.2012
139,2:04:50,Getu Feleke,ETH,28.11.86,2,Rotterdam,15.04.2012
141,2:04:51,Abebe Degefa,ETH,20.05.84,4,Valencia,01.12.2019
